timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:06 p. m.",17.54,66.69,1233,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:09 p. m.",17.5,66.81,1265,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:12 p. m.",17.51,66.84,1264,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:15 p. m.",17.53,66.8,1231,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:18 p. m.",17.53,66.7,1254,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:21 p. m.",17.55,66.65,1267,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:24 p. m.",17.54,66.55,1168,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:27 p. m.",17.53,66.44,1252,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:30 p. m.",17.54,66.3,1153,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:33 p. m.",17.54,66.2,1266,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:36 p. m.",17.55,66.1,1242,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:39 p. m.",17.55,65.96,1258,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:42 p. m.",17.57,65.88,1279,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:45 p. m.",17.57,65.91,1263,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:48 p. m.",17.55,66.02,1276,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:51 p. m.",17.57,65.97,1310,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:54 p. m.",17.59,65.86,1280,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:57:57 p. m.",17.57,65.74,1278,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:00 p. m.",17.59,65.71,1170,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:03 p. m.",17.61,65.67,1262,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:06 p. m.",17.59,65.66,1274,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:09 p. m.",17.59,65.75,1261,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:12 p. m.",17.6,65.79,1274,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:15 p. m.",17.61,65.82,1285,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:18 p. m.",17.63,65.77,1238,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:21 p. m.",17.6,65.72,1251,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:24 p. m.",17.61,65.75,1267,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:27 p. m.",17.63,65.85,1253,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:30 p. m.",17.63,65.84,1203,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:33 p. m.",17.63,65.83,1275,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:36 p. m.",17.63,65.77,1323,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:39 p. m.",17.64,65.68,1238,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:42 p. m.",17.66,65.63,1266,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:45 p. m.",17.64,65.53,1305,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:48 p. m.",17.64,65.47,1257,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:51 p. m.",17.66,65.35,1276,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:54 p. m.",17.66,65.23,1263,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:58:57 p. m.",17.63,65.17,1192,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:59:00 p. m.",17.67,65.14,1285,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:59:03 p. m.",17.69,65.2,1253,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:59:06 p. m.",17.69,65.3,1309,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:59:09 p. m.",17.67,65.49,1271,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:59:12 p. m.",17.67,65.88,1200,normal

timestamp,temperatura,humedad,gas,estado_alerta
"05-06-2026, 4:59:15 p. m.",17.69,66.09,1286,normal

timestamp,temperatura,humedad,gas,estado_alerta
